

[2019-08-30 16:38:13] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-30 17:53:10] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-30 17:57:15] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-30 18:14:49] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-30 19:23:23] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-30 19:41:43] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-31 07:25:52] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-31 08:51:10] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-31 19:44:51] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-31 20:36:40] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-09-01 04:08:07] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-09-01 07:40:46] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-09-01 09:10:37] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-09-01 12:31:18] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-09-02 09:07:15] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-09-02 09:28:23] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-09-02 11:06:40] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-09-02 23:01:48] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-09-02 23:14:01] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


